year	sampling.site	id	sum	female	male	Wolbachia	F1	?2_f1	yacho_f1	kor ochi_f1	L2_f1	rozstavl kr_f1	L5_f1	Cr_f1	others_mut_f1	fen zminy_f1	F2	?2_f2	yacho_f2	kor ochi_f2	L2_f2	rozstavl kr_f2	L5_f2	Cr_f2	others_mut_f2	fen zminy_f2
2014	Varva	0	1289	439	850	NA	NA	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	1	NA	NA	NA	NA	31	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0
2014	Varva	2	NA	NA	NA	NA	60	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	3	NA	NA	NA	NA	63	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	4	NA	NA	NA	NA	113	0	0	0	0	0	0	0	0	2	NA	0	0	0	0	0	0	0	0	0
2014	Varva	5	NA	NA	NA	NA	62	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
2014	Varva	6	NA	NA	NA	NA	42	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	7	NA	NA	NA	0	79	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	1
2014	Varva	8	NA	NA	NA	1	61	0	0	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	1
2014	Varva	9	NA	NA	NA	NA	74	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	10	NA	NA	NA	1	66	0	0	0	0	0	0	0	0	2	23	0	0	0	0	0	0	0	0	0
2014	Varva	11	NA	NA	NA	NA	53	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	12	NA	NA	NA	1	27	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
2014	Varva	13	NA	NA	NA	NA	70	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	14	NA	NA	NA	NA	45	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
2014	Varva	15	NA	NA	NA	NA	30	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
2014	Varva	16	NA	NA	NA	NA	27	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	17	NA	NA	NA	NA	40	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
2014	Varva	18	NA	NA	NA	NA	90	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	19	NA	NA	NA	NA	72	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0
2014	Varva	20	NA	NA	NA	NA	50	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0
2014	Varva	21	NA	NA	NA	0	112	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
2014	Varva	22	NA	NA	NA	NA	90	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
2014	Varva	23	NA	NA	NA	NA	147	0	0	0	0	0	0	0	0	13	31	0	0	4	0	0	0	0	0	0
2014	Varva	24	NA	NA	NA	NA	83	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
2014	Varva	25	NA	NA	NA	NA	20	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0
2014	Varva	26	NA	NA	NA	NA	60	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
2014	Varva	27	NA	NA	NA	NA	63	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
2014	Varva	28	NA	NA	NA	NA	82	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
2014	Varva	29	NA	NA	NA	1	70	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
